Brand,Model,Variant,Usable_Battery_kWh,AC_Max_kW,DC_Max_kW,DC_Charging_Curve,DC_Curve_Is_Default,DC_Ports,AC_Ports
Audi,Q4 Sportback e-tron,35 (52 kWh usable),52.0,7.2,100.0,"[{""percentage"":0,""power"":95},{""percentage"":75,""power"":100},{""percentage"":100,""power"":7.2}]",True,ccs,type2
Audi,Q4 Sportback e-tron,50 quattro (77 kWh usable),77.0,11.0,125.0,"[{""percentage"":0,""power"":125},{""percentage"":35,""power"":125},{""percentage"":70,""power"":65},{""percentage"":80,""power"":65},{""percentage"":100,""power"":25}]",False,ccs,type2
Audi,Q4 Sportback e-tron 40,76.6 kWh usable,76.6,11.0,143.0,"[{""percentage"":0,""power"":143},{""percentage"":50,""power"":143},{""percentage"":80,""power"":85.8},{""percentage"":100,""power"":42.9}]",False,ccs,type2
Audi,Q4 Sportback e-tron 45,77 kWh usable,77.0,11.0,150.0,"[{""percentage"":0,""power"":150},{""percentage"":20,""power"":150},{""percentage"":40,""power"":120},{""percentage"":60,""power"":90},{""percentage"":80,""power"":60},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q4 Sportback e-tron 45 quattro,77 kWh usable,77.0,11.0,150.0,"[{""percentage"":0,""power"":150},{""percentage"":20,""power"":150},{""percentage"":40,""power"":120},{""percentage"":60,""power"":90},{""percentage"":80,""power"":60},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q4 Sportback e-tron 55 quattro,77 kWh usable,77.0,11.0,175.0,"[{""percentage"":0,""power"":175},{""percentage"":50,""power"":175},{""percentage"":80,""power"":87.5},{""percentage"":100,""power"":35}]",False,ccs,type2
Audi,Q4 e-tron,35 (52 kWh usable),52.0,7.2,100.0,"[{""percentage"":0,""power"":95},{""percentage"":75,""power"":100},{""percentage"":100,""power"":7.2}]",True,ccs,type2
Audi,Q4 e-tron,40 (77 kWh usable),77.0,11.0,125.0,"[{""percentage"":0,""power"":125},{""percentage"":35,""power"":125},{""percentage"":70,""power"":62},{""percentage"":80,""power"":62},{""percentage"":90,""power"":35},{""percentage"":100,""power"":25}]",False,ccs,type2
Audi,Q4 e-tron,45 (77 kWh usable),77.0,11.0,135.0,"[{""percentage"":0,""power"":128.3},{""percentage"":75,""power"":135},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q4 e-tron,50 quattro (77 kWh usable),77.0,11.0,125.0,"[{""percentage"":0,""power"":125},{""percentage"":35,""power"":125},{""percentage"":70,""power"":65},{""percentage"":80,""power"":65},{""percentage"":90,""power"":35},{""percentage"":100,""power"":25}]",False,ccs,type2
Audi,Q4 e-tron 45 quattro,77 kWh usable,77.0,11.0,150.0,"[{""percentage"":0,""power"":150},{""percentage"":20,""power"":150},{""percentage"":40,""power"":120},{""percentage"":60,""power"":90},{""percentage"":80,""power"":60},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q4 e-tron 55 quattro,77 kWh usable,77.0,11.0,175.0,"[{""percentage"":0,""power"":175},{""percentage"":50,""power"":175},{""percentage"":80,""power"":87.5},{""percentage"":100,""power"":35}]",False,ccs,type2
Audi,Q6 e-tron,75.8 kWh usable,75.8,11.0,225.0,"[{""percentage"":0,""power"":225},{""percentage"":50,""power"":225},{""percentage"":80,""power"":112.5},{""percentage"":100,""power"":45}]",False,ccs,type2
Audi,Q6 e-tron,performance (94.9 kWh usable),94.9,11.0,260.0,"[{""percentage"":0,""power"":247},{""percentage"":75,""power"":260},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q6 e-tron,quattro (94.9 kWh usable),94.9,11.0,270.0,"[{""percentage"":0,""power"":256.5},{""percentage"":75,""power"":270},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q6 e-tron Sportback,75.8 kWh usable,75.8,11.0,225.0,"[{""percentage"":0,""power"":225},{""percentage"":50,""power"":225},{""percentage"":80,""power"":112.5},{""percentage"":100,""power"":45}]",False,ccs,type2
Audi,Q6 e-tron Sportback performance,94.9 kWh usable,94.9,11.0,260.0,"[{""percentage"":0,""power"":260},{""percentage"":50,""power"":260},{""percentage"":80,""power"":156},{""percentage"":100,""power"":78}]",False,ccs,type2
Audi,Q6 e-tron Sportback quattro,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,Q8 e-tron,50 quattro (89 kWh usable),89.0,11.0,155.0,"[{""percentage"":0,""power"":147.3},{""percentage"":75,""power"":155},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q8 e-tron,55 quattro (106 kWh usable),106.0,11.0,168.0,"[{""percentage"":0,""power"":159.6},{""percentage"":75,""power"":168},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q8 e-tron,Sportback 55 quattro (106 kWh usable),106.0,11.0,168.0,"[{""percentage"":0,""power"":159.6},{""percentage"":75,""power"":168},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,Q8 e-tron Sportback 50 quattro,89 kWh usable,89.0,11.0,155.0,"[{""percentage"":0,""power"":155},{""percentage"":50,""power"":155},{""percentage"":80,""power"":93},{""percentage"":100,""power"":46.5}]",False,ccs,type2
Audi,S6 Avant e-tron,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,S6 Sportback e-tron,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,SQ6 e-tron,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":256.5},{""percentage"":75,""power"":270},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,SQ6 e-tron Sportback,94.9 kWh usable,94.9,11.0,270.0,"[{""percentage"":0,""power"":270},{""percentage"":50,""power"":270},{""percentage"":80,""power"":162},{""percentage"":100,""power"":81}]",False,ccs,type2
Audi,SQ8 e-tron,106 kWh usable,106.0,11.0,168.0,"[{""percentage"":0,""power"":168},{""percentage"":50,""power"":168},{""percentage"":80,""power"":100.8},{""percentage"":100,""power"":50.4}]",False,ccs,type2
Audi,SQ8 e-tron Sportback,106 kWh usable,106.0,11.0,168.0,"[{""percentage"":0,""power"":168},{""percentage"":50,""power"":168},{""percentage"":80,""power"":100.8},{""percentage"":100,""power"":50.4}]",False,ccs,type2
Audi,e-tron 50,22kW-AC (65 kWh usable),65.0,22.0,124.0,"[{""percentage"":0,""power"":110},{""percentage"":10,""power"":120},{""percentage"":20,""power"":124},{""percentage"":60,""power"":124},{""percentage"":70,""power"":100},{""percentage"":80,""power"":77},{""percentage"":100,""power"":22}]",False,ccs,type2
Audi,e-tron 50,65 kWh usable,65.0,11.0,124.0,"[{""percentage"":0,""power"":110},{""percentage"":10,""power"":120},{""percentage"":20,""power"":124},{""percentage"":60,""power"":124},{""percentage"":70,""power"":100},{""percentage"":80,""power"":77},{""percentage"":100,""power"":22}]",False,ccs,type2
Audi,e-tron 50 quattro,64.7 kWh usable,64.7,11.0,120.0,"[{""percentage"":0,""power"":120},{""percentage"":50,""power"":120},{""percentage"":80,""power"":72},{""percentage"":100,""power"":36}]",False,ccs,type2
Audi,e-tron 55,22kW-AC (86.5 kWh usable),86.5,22.0,155.0,"[{""percentage"":0,""power"":137},{""percentage"":70,""power"":155},{""percentage"":72,""power"":150},{""percentage"":78,""power"":120},{""percentage"":82,""power"":105},{""percentage"":100,""power"":50}]",False,ccs,type2
Audi,e-tron 55,86.5 kWh usable,86.5,11.0,155.0,"[{""percentage"":0,""power"":137},{""percentage"":70,""power"":155},{""percentage"":72,""power"":150},{""percentage"":78,""power"":120},{""percentage"":82,""power"":105},{""percentage"":100,""power"":50}]",False,ccs,type2
Audi,e-tron 55,quattro (86.5 kWh usable),86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,e-tron 55 quattro,86.5 kWh usable,86.5,11.0,155.0,"[{""percentage"":0,""power"":155},{""percentage"":50,""power"":155},{""percentage"":80,""power"":93},{""percentage"":100,""power"":46.5}]",False,ccs,type2
Audi,e-tron GT RS,97 kWh usable,97.0,11.0,320.0,"[{""percentage"":0,""power"":320},{""percentage"":50,""power"":320},{""percentage"":80,""power"":192},{""percentage"":100,""power"":96}]",False,ccs,type2
Audi,e-tron GT RS performance,97 kWh usable,97.0,11.0,320.0,"[{""percentage"":0,""power"":320},{""percentage"":50,""power"":320},{""percentage"":80,""power"":192},{""percentage"":100,""power"":96}]",False,ccs,type2
Audi,e-tron GT S,97 kWh usable,97.0,11.0,320.0,"[{""percentage"":0,""power"":320},{""percentage"":50,""power"":320},{""percentage"":80,""power"":192},{""percentage"":100,""power"":96}]",False,ccs,type2
Audi,e-tron GT quattro,85 kWh usable,85.0,11.0,268.0,"[{""percentage"":0,""power"":268},{""percentage"":20,""power"":268},{""percentage"":40,""power"":214},{""percentage"":60,""power"":161},{""percentage"":80,""power"":107},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,e-tron S,Sportback (86.5 kWh usable),86.5,22.0,149.0,"[{""percentage"":0,""power"":148},{""percentage"":30,""power"":149},{""percentage"":40,""power"":144},{""percentage"":70,""power"":98},{""percentage"":85,""power"":59},{""percentage"":100,""power"":27}]",False,ccs,type2
Audi,e-tron S,95 kWh usable,95.0,22.0,188.0,"[{""percentage"":0,""power"":182},{""percentage"":40,""power"":188},{""percentage"":50,""power"":154},{""percentage"":60,""power"":112},{""percentage"":75,""power"":71},{""percentage"":85,""power"":42},{""percentage"":100,""power"":23}]",False,ccs,type2
Audi,e-tron Sportback 50 quattro,64.7 kWh usable,64.7,11.0,150.0,"[{""percentage"":0,""power"":150},{""percentage"":20,""power"":150},{""percentage"":40,""power"":120},{""percentage"":60,""power"":90},{""percentage"":80,""power"":60},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,e-tron Sportback 55,quattro (86.5 kWh usable),86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,e-tron Sportback 55 quattro,86.5 kWh usable,86.5,11.0,155.0,"[{""percentage"":0,""power"":155},{""percentage"":50,""power"":155},{""percentage"":80,""power"":93},{""percentage"":100,""power"":46.5}]",False,ccs,type2
Audi,etron,106 kWh usable,106.0,11.0,106.0,"[{""percentage"":0,""power"":106},{""percentage"":30,""power"":106},{""percentage"":60,""power"":74.2},{""percentage"":80,""power"":42.4},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 35,52 kWh usable,52.0,11.0,52.0,"[{""percentage"":0,""power"":52},{""percentage"":50,""power"":52},{""percentage"":80,""power"":31.2},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 40,76.6 kWh usable,76.6,11.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":20,""power"":76.6},{""percentage"":40,""power"":61},{""percentage"":60,""power"":46},{""percentage"":80,""power"":31},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,etron 45,quattro (76.6 kWh usable),76.6,11.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":20,""power"":76.6},{""percentage"":40,""power"":61},{""percentage"":60,""power"":46},{""percentage"":80,""power"":31},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,etron 45,77 kWh usable,77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 45,quattro (77 kWh usable),77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 50,quattro (76.6 kWh usable),76.6,11.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":20,""power"":76.6},{""percentage"":40,""power"":61},{""percentage"":60,""power"":46},{""percentage"":80,""power"":31},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,etron 50,quattro (89 kWh usable),89.0,11.0,89.0,"[{""percentage"":0,""power"":89},{""percentage"":30,""power"":89},{""percentage"":60,""power"":62.3},{""percentage"":80,""power"":35.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 55,quattro (77 kWh usable),77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron 55,quattro (106 kWh usable),106.0,11.0,106.0,"[{""percentage"":0,""power"":106},{""percentage"":30,""power"":106},{""percentage"":60,""power"":74.2},{""percentage"":80,""power"":42.4},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron sportback,106 kWh usable,106.0,11.0,106.0,"[{""percentage"":0,""power"":106},{""percentage"":30,""power"":106},{""percentage"":60,""power"":74.2},{""percentage"":80,""power"":42.4},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron sportback 50,quattro (89 kWh usable),89.0,11.0,89.0,"[{""percentage"":0,""power"":89},{""percentage"":30,""power"":89},{""percentage"":60,""power"":62.3},{""percentage"":80,""power"":35.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,etron sportback 55,quattro (106 kWh usable),106.0,11.0,106.0,"[{""percentage"":0,""power"":106},{""percentage"":30,""power"":106},{""percentage"":60,""power"":74.2},{""percentage"":80,""power"":42.4},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,gt quattro,85 kWh usable,85.0,11.0,85.0,"[{""percentage"":0,""power"":85},{""percentage"":40,""power"":85},{""percentage"":70,""power"":68},{""percentage"":90,""power"":34},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,gt rs,85 kWh usable,85.0,11.0,85.0,"[{""percentage"":0,""power"":85},{""percentage"":40,""power"":85},{""percentage"":70,""power"":68},{""percentage"":90,""power"":34},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,s,86.5 kWh usable,86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,s sportback,86.5 kWh usable,86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,sportback 50,quattro (64.7 kWh usable),64.7,11.0,64.7,"[{""percentage"":0,""power"":64.7},{""percentage"":20,""power"":64.7},{""percentage"":40,""power"":52},{""percentage"":60,""power"":39},{""percentage"":80,""power"":26},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,sportback 55,quattro (86.5 kWh usable),86.5,11.0,86.5,"[{""percentage"":0,""power"":86.5},{""percentage"":30,""power"":86.5},{""percentage"":60,""power"":60.55},{""percentage"":80,""power"":34.6},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,sportbacketron 35,52 kWh usable,52.0,4.0,52.0,"[{""percentage"":0,""power"":52},{""percentage"":50,""power"":52},{""percentage"":80,""power"":31.2},{""percentage"":100,""power"":4}]",False,ccs,type2
Audi,sportbacketron 40,76.6 kWh usable,76.6,4.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":20,""power"":76.6},{""percentage"":40,""power"":61},{""percentage"":60,""power"":46},{""percentage"":80,""power"":31},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,sportbacketron 45,quattro (76.6 kWh usable),76.6,11.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":30,""power"":76.6},{""percentage"":60,""power"":53.62},{""percentage"":80,""power"":30.64},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,sportbacketron 45,77 kWh usable,77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,sportbacketron 45,quattro (77 kWh usable),77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
Audi,sportbacketron 50,quattro (76.6 kWh usable),76.6,4.0,76.6,"[{""percentage"":0,""power"":76.6},{""percentage"":20,""power"":76.6},{""percentage"":40,""power"":61},{""percentage"":60,""power"":46},{""percentage"":80,""power"":31},{""percentage"":100,""power"":11}]",True,ccs,type2
Audi,sportbacketron 55,quattro (77 kWh usable),77.0,11.0,77.0,"[{""percentage"":0,""power"":77},{""percentage"":30,""power"":77},{""percentage"":60,""power"":53.9},{""percentage"":80,""power"":30.8},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,120 ah,37.9 kWh usable,37.9,37.9,37.9,"[{""percentage"":0,""power"":37.9},{""percentage"":50,""power"":37.9},{""percentage"":80,""power"":22.74},{""percentage"":100,""power"":37.9}]",False,ccs,type2
BMW,edrive20,64.7 kWh usable,64.7,11.0,64.7,"[{""percentage"":0,""power"":64.7},{""percentage"":30,""power"":64.7},{""percentage"":60,""power"":45.29},{""percentage"":80,""power"":25.88},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,edrive35,67 kWh usable,67.0,11.0,67.0,"[{""percentage"":0,""power"":67},{""percentage"":30,""power"":67},{""percentage"":60,""power"":46.9},{""percentage"":80,""power"":26.8},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,edrive40,80.7 kWh usable,80.7,11.0,80.7,"[{""percentage"":0,""power"":80.7},{""percentage"":20,""power"":80.7},{""percentage"":40,""power"":65},{""percentage"":60,""power"":48},{""percentage"":80,""power"":32},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,edrive40 sedan,81.2 kWh usable,81.2,11.0,81.2,"[{""percentage"":0,""power"":81.2},{""percentage"":30,""power"":81.2},{""percentage"":60,""power"":56.84},{""percentage"":80,""power"":32.48},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,edrive50,101.7 kWh usable,101.7,11.0,101.7,"[{""percentage"":0,""power"":101.7},{""percentage"":30,""power"":101.7},{""percentage"":60,""power"":71.19},{""percentage"":80,""power"":40.68},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,i3,60 Ah (18.8 kWh usable),18.8,7.4,47.0,"[{""percentage"":0,""power"":43},{""percentage"":30,""power"":47},{""percentage"":33,""power"":44},{""percentage"":62,""power"":44},{""percentage"":100,""power"":3}]",False,ccs,type2
BMW,i3,94 Ah (27.2 kWh usable),27.2,11.0,50.0,"[{""percentage"":0,""power"":44},{""percentage"":60,""power"":46},{""percentage"":80,""power"":50},{""percentage"":100,""power"":3}]",False,ccs,type2
BMW,i3,120 Ah (37.9 kWh usable),37.9,11.0,50.0,"[{""percentage"":0,""power"":43},{""percentage"":10,""power"":44},{""percentage"":20,""power"":45},{""percentage"":40,""power"":46},{""percentage"":60,""power"":47},{""percentage"":80,""power"":48},{""percentage"":85,""power"":50},{""percentage"":90,""power"":35},{""percentage"":100,""power"":11}]",False,ccs,type2
BMW,i3 94,Ah (27.2 kWh usable),27.2,27.2,47.0,"[{""percentage"":0,""power"":47},{""percentage"":70,""power"":47},{""percentage"":80,""power"":32.9},{""percentage"":100,""power"":27.2}]",False,ccs,type2
BMW,i3S,94 Ah (27.2 kWh usable),27.2,11.0,49.0,"[{""percentage"":0,""power"":49},{""percentage"":45,""power"":46},{""percentage"":60,""power"":40},{""percentage"":80,""power"":27},{""percentage"":100,""power"":14}]",False,ccs,type2
BMW,i3S,94 Ah REX (27.2 kWh usable),27.2,11.0,49.0,"[{""percentage"":0,""power"":49},{""percentage"":45,""power"":46},{""percentage"":60,""power"":40},{""percentage"":80,""power"":27},{""percentage"":100,""power"":14}]",False,ccs,type2
BMW,i3S,120 Ah (37.9 kWh usable),37.9,11.0,50.0,"[{""percentage"":0,""power"":47.5},{""percentage"":75,""power"":50},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i3s 94,Ah (27.2 kWh usable),27.2,27.2,27.2,"[{""percentage"":0,""power"":27.2},{""percentage"":70,""power"":27.2},{""percentage"":80,""power"":19.04},{""percentage"":100,""power"":27.2}]",False,ccs,type2
BMW,i4,eDrive35 (67 kWh usable),67.0,11.0,180.0,"[{""percentage"":0,""power"":171},{""percentage"":75,""power"":180},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i4,eDrive40 (80.7 kWh usable),80.7,11.0,207.0,"[{""percentage"":0,""power"":196.6},{""percentage"":75,""power"":207},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i4,M50 (81.3 kWh usable),81.3,11.0,207.0,"[{""percentage"":0,""power"":207},{""percentage"":20,""power"":207},{""percentage"":40,""power"":166},{""percentage"":60,""power"":124},{""percentage"":80,""power"":83},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i4,xDrive40 (81.3 kWh usable),81.3,11.0,207.0,"[{""percentage"":0,""power"":207},{""percentage"":20,""power"":207},{""percentage"":40,""power"":166},{""percentage"":60,""power"":124},{""percentage"":80,""power"":83},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i5,M60 xDrive Sedan (81.2 kWh usable),81.2,11.0,206.0,"[{""percentage"":0,""power"":195.7},{""percentage"":75,""power"":206},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i5,M60 xDrive Touring (81.2 kWh usable),81.2,11.0,206.0,"[{""percentage"":0,""power"":195.7},{""percentage"":75,""power"":206},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i5,eDrive40 Sedan (81.2 kWh usable),81.2,11.0,206.0,"[{""percentage"":0,""power"":195.7},{""percentage"":75,""power"":206},{""percentage"":100,""power"":11}]",True,ccs,type2
BMW,i5,eDrive40 Touring (81.2 kWh usable),81.2,11.0,206.0,"[{""percentage"":0,""power"":195.7},{""percentage"":75,""power"":206},{""percentage"":100,""power"":11}]",True,ccs,type2
